,,,,合計金額,"\52,471,358 ",,,,,,,,,,,,,,\0 ,\0 ,,,,,,
02-175,02,面材,直接資材,N02000000000175,アイマックス,LVS化粧天板 t18X405X2450 MW色,MW,LVS,405,2450,18,枚,5745,9,対象(外注先売却予定),0,15,15,86175,87036.75,2026/04/20,,,,100,
02-176,02,面材,直接資材,N02000000000176,アイマックス,LVS化粧天板 t18X405X2450 NO色,NO,LVS,405,2450,18,枚,5830,9,対象(外注先売却予定),0,24,24,139920,141319.2,2026/04/20,,,,100,
02-177,02,面材,直接資材,N02000000000177,アイマックス,LVS化粧天板 t18X405X2450 SP色,SP,LVS,405,2450,18,枚,5745,9,対象(外注先売却予定),0,6,6,34470,34814.7,2026/04/20,,,,100,
02-178,02,面材,直接資材,N02000000000178,アイマックス,LVS化粧天板 t18X405X2450 BA色,BA,LVS,405,2450,18,枚,5745,9,対象(外注先売却予定),0,10,10,57450,58024.5,2026/04/20,,,,100,
02-179,02,面材,直接資材,N02000000000179,アイマックス,LVS化粧天板 t18X405X2450MA色,MA,LVS,405,2450,18,枚,5745,9,対象(外注先売却予定),0,21,21,120645,121851.45,2026/04/20,,,,100,
02-180,02,面材,直接資材,N02000000000180,アイマックス,LVS化粧天板 t18X405X2450 NBL色,NBL,LVS,405,2450,18,枚,5830,9,対象(外注先売却予定),0,2,2,11660,11776.6,2026/04/20,,,,100,
02-181,02,面材,直接資材,N02000000000181,アイマックス,LVS化粧天板 t18X405X2450 TO色,TO,LVS,405,2450,18,枚,5745,9,対象(外注先売却予定),0,4,4,22980,23209.8,2026/04/20,,,,100,
02-182,02,面材,直接資材,N02000000000182,アイマックス,LVS化粧天板 t18X405X2450 UW色,UW,LVS,405,2450,18,枚,5745,9,対象(外注先売却予定),0,6,6,34470,34814.7,2026/04/20,,,,100,
02-183,02,面材,直接資材,N02000000000183,アイマックス,LVS化粧天板 t18X405X2450 VW色,VW,LVS,405,2450,18,枚,5745,9,対象(外注先売却予定),0,16,10,57450,58024.5,2026/04/20,,,,100,
02-184,02,面材,直接資材,N02000000000184,,低ﾒﾗ t2.5X4'X8' BW,BW,低ﾒﾗ,1245,2450,2.5,枚,1250,1,対象(通常品),0,456,0,0,0,2026/04/20,,,,100,
02-185,02,面材,直接資材,N02000000000185,,低ﾒﾗ t2.5X4'X8' C,C,低ﾒﾗ,4',8',2.5,枚,1250,1,対象(通常品),0,46,25,31250,31562.5,2026/04/20,,,,100,
02-186,02,面材,直接資材,N02000000000186,,低ﾒﾗ t2.5X4'X8' DB,DB,低ﾒﾗ,1220,2420,2.5,枚,1250,1,対象(通常品),0,1005,477,596250,602212.5,2026/04/20,,,,100,
02-187,02,面材,直接資材,N02000000000187,,低ﾒﾗ t2.5X4'X8' EC,EC,低ﾒﾗ,1220,2420,2.5,枚,1250,1,対象(通常品),0,722,480,600000,606000,2026/04/20,,,,100,
02-188,02,面材,直接資材,N02000000000188,,低ﾒﾗ t2.5X4'X8' GO,GO,低ﾒﾗ,1245,2450,2.5,枚,1250,1,対象(通常品),0,695,282,352500,356025,2026/04/20,,,,100,
02-189,02,面材,直接資材,N02000000000189,,低ﾒﾗ t2.5X4X8 MW,MW,低ﾒﾗ,4',8',2.5,枚,1250,1,対象(通常品),0,500,259,323750,326987.5,2026/04/20,,,,100,
02-190,02,面材,直接資材,N02000000000190,,低ﾒﾗ t2.5X4'X6'  NK,NK,低ﾒﾗ,1220,1820,2.5,枚,0,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-191,02,面材,直接資材,N02000000000191,,低ﾒﾗ t2.5X4'X8'  NK,NK,低ﾒﾗ,1220,2440,2.5,枚,0,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-193,02,面材,直接資材,N02000000000193,,低ﾒﾗ 2.5X4X8 WH(ﾎﾜｲﾄﾋｯｺﾘｰ),WH,低ﾒﾗ,4',8',2.5,枚,1250,1,対象(通常品),0,765,440,550000,555500,2026/04/20,,,,100,
02-194,02,面材,直接資材,N02000000000194,,低ﾒﾗ t2.5X4'X8' TWH,TWH,低ﾒﾗ,1220,2440,2.5,枚,1250,1,対象(通常品),0,825,189,236250,238612.5,2026/04/20,,,,100,
02-195,02,面材,直接資材,N02000000000195,,低ﾒﾗ t2.5X4'X8' BK,BK,低ﾒﾗ,1245,2450,2.5,枚,1250,1,対象(通常品),0,723,66,82500,83325,2026/04/20,,,,100,
02-196,02,面材,直接資材,N02000000000196,,低ﾒﾗ t4X4'X6' MW,MW,低ﾒﾗ,1220,1820,4,枚,1458,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-197,02,面材,直接資材,N02000000000197,,低ﾒﾗ t4X4'X6'  NK,NK,低ﾒﾗ,1220,1820,4,枚,800,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-198,02,面材,直接資材,N02000000000198,,低ﾒﾗ t4X4'X8'  NK,NK,低ﾒﾗ,1220,2440,4,枚,0,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-200,02,面材,直接資材,N02000000000200,,VRTB-5860D4 ﾚｲﾕｰﾙﾕｰｶﾘ,,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,8860,1,対象(通常品),0,8,8,70880,71588.8,2026/04/20,,,,100,
02-201,02,面材,直接資材,N02000000000201,,VRTB-5835D4 ｶｯﾌｪｵｰｸ,,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,10850,1,対象(通常品),0,102,92,998200,1008182,2026/04/20,,,,100,
02-202,02,面材,直接資材,N02000000000202,,VRTB-5757D4 ｽﾓｰｸﾄﾞｵｰｸ,,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,8860,1,対象(通常品),0,3,3,26580,26845.8,2026/04/20,,,,100,
02-203,02,面材,直接資材,N02000000000203,,RT-3562TX ｺｰｼﾞｰｻﾝﾄﾞ,,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,8860,1,対象(通常品),0,48,48,425280,429532.8,2026/04/20,,,,100,
02-204,02,面材,直接資材,N02000000000204,,VRTB-5833D4 ｶｯﾌｪｵｰｸ,GO,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,9300,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-205,02,面材,直接資材,N02000000000205,,VRT5832D4 ｶｯﾌｪｵｰｸ,,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,9720,1,対象(通常品),0,9,9,87480,88354.8,2026/04/20,,,,100,
02-207,02,面材,直接資材,N02000000000207,,VRT-7250U4 ｼｭｶﾞｰﾋﾟﾝｸ,P,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,0,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-209,02,面材,直接資材,N02000000000209,,VRT-7023U4 ｸﾘｰﾐｰﾍﾞｰｼﾞｭ,,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,8860,1,対象(通常品),0,261,247,2188420,2210304.2,2026/04/20,,,,100,
02-212,02,面材,直接資材,N02000000000212,,VRTB-3509AS4 ｴﾄﾅ,,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,8700,1,対象(通常品),0,46,35,304500,307545,2026/04/20,,,,100,
02-213,02,面材,直接資材,N02000000000213,,VRTB-5841D4 ﾌﾟﾘﾏﾌﾞﾗｯｸﾁｪﾘｰ,,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,8860,1,対象(通常品),0,5,5,44300,44743,2026/04/20,,,,100,
02-214,02,面材,直接資材,N02000000000214,,RT-1981TX ﾋﾟｭｱﾎﾜｲﾄ,MW,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,8250,1,対象(通常品),0,102,102,841500,849915,2026/04/20,,,,100,
02-215,02,面材,直接資材,N02000000000215,,RT-5769TX ｱｯｿｳｫｰﾙﾅｯﾄ,,ｲﾋﾞｹﾝ㈱,935,2450,3,枚,10850,1,対象(通常品),0,23,23,249550,252045.5,2026/04/20,,,,100,
02-217,02,面材,直接資材,N02000000000217,,EBI-8902FT6 ﾌﾞﾗｯｸ,,ｲﾋﾞｹﾝ㈱,1235,2440,0.95,枚,0,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-218,02,面材,直接資材,N02000000000218,,FTN-508ZN,,㈱共立,,,3,枚,10200,1,対象(通常品),0,49,46,469200,473892,2026/04/20,,,,100,
02-219,02,面材,直接資材,N02000000000219,,TJY-542K,,㈱共立,,,3,枚,7040,1,対象(通常品),0,5,5,35200,35552,2026/04/20,,,,100,
02-220,02,面材,直接資材,N02000000000220,,FTN-2001ZNS,,㈱共立,,,3,枚,8860,1,対象(通常品),0,1,0,0,0,2026/04/20,,,,100,
02-221,02,面材,直接資材,N02000000000221,,FJ-2060ZJN67,,㈱共立,,8',3,枚,13600,1,対象(通常品),0,31,17,231200,233512,2026/04/20,,,,100,
02-222,02,面材,直接資材,N02000000000222,,FX-5068ZJD67S,,㈱共立,4',8',3,枚,13600,1,対象(通常品),0,22,11,149600,151096,2026/04/20,,,,100,
02-223,02,面材,直接資材,N02000000000223,,FJ-2055ZJD67S,,㈱共立,4',8',3,枚,13600,1,対象(通常品),0,30,22,299200,302192,2026/04/20,,,,100,
02-224,02,面材,直接資材,N02000000000224,,EFN-2055ZD,,㈱共立,3',8',3,枚,11200,1,対象(通常品),0,8,0,0,0,2026/04/20,,,,100,
02-227,02,面材,直接資材,N02000000000227,,FKJ-6000 4'X8',,㈱共立,4',8',3,枚,11500,1,対象(通常品),0,9,28,322000,325220,2026/04/20,,,,100,
02-228,02,面材,直接資材,N02000000000228,,TJ-10240,,㈱共立,,,0.95,枚,6700,1,対象(通常品),0,87,87,582900,588729,2026/04/20,,,,100,
02-229,02,面材,直接資材,N02000000000229,,FKM-6400ZGN 3'X8' 裏ｻﾝﾀﾞｰあり,,㈱共立,,,,枚,12400,1,対象(通常品),0,2,0,0,0,2026/04/20,,,,100,
02-251,02,面材,直接資材,N02000000000251,,EFN-2054ZD,,㈱共立,3',8',3,枚,11200,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-252,02,面材,直接資材,N02000000000252,,化粧MDF t18X4'X8' SH,SH,MDF,1231,2400,18,枚,9315,1,対象(通常品),0,17,17,158355,159938.55,2026/04/20,,,,100,
02-253,02,面材,直接資材,N02000000000253,,K-6530KN 4*8,LA,㈱共立,1220,2440,0.95,枚,9000,1,対象(通常品),0,4,4,36000,36360,2026/04/20,,,,100,
02-254,02,面材,直接資材,N02000000000254,,K-6530KN 3*6,LA,㈱共立,920,1830,0.95,枚,5000,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-255,02,面材,直接資材,N02000000000255,,K-6629KN 3*6,GB,㈱共立,920,1830,0.95,枚,5000,1,対象(通常品),0,5,3,15000,15150,2026/04/20,,,,100,
02-256,02,面材,直接資材,N02000000000256,,K-6627KN 3*6,PS,㈱共立,920,1830,0.95,枚,5000,1,対象(通常品),0,9,4,20000,20200,2026/04/20,,,,100,
02-257,02,面材,直接資材,N02000000000257,,K-6627KN 4*8,PS,㈱共立,1220,2440,0.95,枚,9000,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-258,02,面材,直接資材,N02000000000258,,ｱｲｶ ﾒﾗﾐﾝ CNY10301K 4X8,ST,小池ｲﾏﾃｸｽ㈱,1220,2440,3,枚,0,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-259,02,面材,直接資材,N02000000000259,,ｾﾙｻｽ FTN2054ZD 3*8,DB近似,㈱共立,920,2440,3,枚,10600,1,対象(通常品),0,4,4,42400,42824,2026/04/20,,,,100,
02-260,02,面材,直接資材,N02000000000260,,ｾﾙｻｽ FTN509ZD 3*8,GO近似,㈱共立,920,2400,3,枚,10600,1,対象(通常品),0,2,2,21200,21412,2026/04/20,,,,100,
02-261,02,面材,直接資材,N02000000000261,,CFN10243ZD,,,,,,枚,10000,1,対象(通常品),0,1,1,10000,10100,2026/04/20,,,,100,
02-262,02,面材,直接資材,N02000000000262,,FKM6400ZGDS 4X8,,,,,,枚,10000,1,対象(通常品),0,5,21,210000,212100,2026/04/20,,,,100,
02-263,02,面材,直接資材,N02000000000263,,K-6628KN 4*8,,,,,,枚,9000,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-264,02,面材,直接資材,N02000000000264,,面材 片面強化紙貼 MW色 t2.5X4'X8',MW,,4,8,2.5,枚,2500,1,対象(通常品),0,55,55,137500,138875,2026/04/20,,,,100,
02-280,02,面材,直接資材,N02000000000280,,K-6630KN 0.95X4X8,,,1220,2400,0.95,枚,9000,1,対象(通常品),0,4,0,0,0,2026/04/20,,,,100,
02-281,02,面材,直接資材,N02000000000281,,FX-5068ZGDS　4'X8',,,4',8',3,枚,13600,1,対象(通常品),0,69,1,13600,13736,2026/04/20,,,,100,
02-282,02,面材,直接資材,N02000000000282,,片面化粧MDF t2.5X3'X9' PW ﾊﾟｰﾙﾎﾜｲﾄ,PW,MDF,900,2730,2.5,枚,3500,1,対象(通常品),0,7,6,21000,21210,2026/04/20,,,,100,
02-285,02,面材,直接資材,N02000000000285,,低ﾒﾗ　EC　20X4'X6',EC,低ﾒﾗ,1200,1800,20,枚,3500,1,対象(通常品),0,14,0,0,0,2026/04/20,,,,100,
02-286,02,面材,直接資材,N02000000000286,,FKM6527ZGN,LA,,4',8',3.0,枚,14000,1,対象(通常品),0,0,1,14000,14140,2026/04/20,,,,100,
02-287,02,面材,直接資材,N02000000000287,,FKM6627ZGN,PS,,4',8',3.0,枚,14000,1,対象(通常品),0,0,2,28000,28280,2026/04/20,,,,100,
02-288,02,面材,直接資材,N02000000000288,,両面化粧MDF SPW 3X8Xt18,SPW,,3,8,18,枚,,9,対象(外注先売却予定),0,0,0,0,0,2026/04/20,,,,100,
02-289,02,面材,直接資材,N02000000000289,,両面化粧MDF SMA 3X8Xt18,,,,,,枚,,9,対象(外注先売却予定),0,0,0,0,0,2026/04/20,,,,100,
02-290,02,面材,直接資材,N02000000000290,,両面化粧MDF SVW 3X8Xt18,SVW,MDF,3,8,18,枚,,9,対象(外注先売却予定),0,0,0,0,0,2026/04/20,,,,100,
02-292,02,面材,直接資材,N02000000000292,,片面化粧MDF t2.5X3'X8' SH,SH,,3,8,2.5,枚,1338,1,対象(通常品),0,0,30,40140,40541.4,2026/04/20,,,,100,
02-293,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000293,,組立机用ﾀﾞﾝﾎﾞｰﾙ,,,,,,枚,400,1,対象(通常品),0,0,10,4000,4040,2026/04/20,,,,100,
02-294,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000294,,ｷｬﾋﾞﾈｯﾄ　梱包材　Ｌ2290,,,,,,式,102,1,対象(通常品),0,0,177,18054,18234.54,2026/04/20,,,,100,
02-294,02,面材,直接資材,N02000000000294,,片面化粧MDFt2.5X3X8 BW,,,,,,式,1230,1,対象(通常品),0,0,,0,0,2026/04/20,,,,100,
02-295,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000295,,ｷｬﾋﾞﾈｯﾄ　梱包材　2300,,,,,,式,115.5,1,対象(通常品),0,0,73,8431.5,8515.815,2026/04/20,,,,100,
02-295,02,基材,直接資材,N02000000000295,,LVL30X44X2430,,,,,,式,375,1,対象(通常品),0,0,4,1500,1515,2026/04/20,,,,100,
02-296,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000296,,ｷｬﾋﾞﾈｯﾄ　梱包材　2410,,,,,,式,108.5,1,対象(通常品),0,0,42,4557,4602.57,2026/04/20,,,,100,
02-297,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000297,,ｷｬﾋﾞﾈｯﾄ　梱包材　2420,,,,,,式,115,1,対象(通常品),0,0,68,7820,7898.2,2026/04/20,,,,100,
02-298,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000298,,ｷｬﾋﾞﾈｯﾄ　梱包材　2400,,,,,,式,56.5,1,対象(通常品),0,0,50,2825,2853.25,2026/04/20,,,,100,
02-299,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000299,,ｷｬﾋﾞﾈｯﾄ　梱包材　2425,,,,,,式,90,1,対象(通常品),0,0,267,24030,24270.3,2026/04/20,,,,100,
02-300,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000300,,台輪　梱包材　2010,,,,,,式,180,1,対象(通常品),0,0,78,14040,14180.4,2026/04/20,,,,100,
02-301,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000301,,台輪　梱包材　2020,,,,,,式,204,1,対象(通常品),0,0,9,1836,1854.36,2026/04/20,,,,100,
02-302,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000302,,固定・可動棚　梱包材　2260,,,,,,式,234,1,対象(通常品),0,0,54,12636,12762.36,2026/04/20,,,,100,
02-303,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000303,,固定・可動棚　梱包材　2270,,,,,,式,234,1,対象(通常品),0,0,90,21060,21270.6,2026/04/20,,,,100,
02-304,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000304,,引出　梱包材　2200,,,,,,式,108.5,1,対象(通常品),0,0,29,3146.5,3177.965,2026/04/20,,,,100,
02-305,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000305,,引出　梱包材　2230,,,,,,式,124,1,対象(通常品),0,0,125,15500,15655,2026/04/20,,,,100,
02-306,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000306,,引出　梱包材　2025角当,,,,,,式,85,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-307,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000307,,引出　梱包材　2235角当,,,,,,式,62,1,対象(通常品),0,0,377,23374,23607.74,2026/04/20,,,,100,
02-308,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000308,,引出　梱包材　2205ﾚｰﾙ箱,,,,,,式,74,1,対象(通常品),0,0,422,31228,31540.28,2026/04/20,,,,100,
02-308,02,面材,間接資材,N02000000000308,,片面化粧MDF t2.5x4x8 GO,,,,,,m,1593,1,対象(通常品),0,0,,0,0,2026/04/20,,,,100,
02-309,02,ﾀﾞﾝﾎﾞｰﾙ,間接資材,N02000000000309,,引出　梱包材　2235ﾚｰﾙ箱,,,,,,式,85,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-309,02,面材,直接資材,N02000000000309,,低ﾒﾗ　t2.5x4x8　RUS,RUS,低ﾒﾗ,1220,2440,2.5,枚,1125,1,対象(通常品),0,0,624,702000,709020,2026/04/20,,,,100,
02-310,02,ﾀﾞﾝﾎﾞｰﾙ,直接資材,N02000000000310,,ﾀﾞﾝﾎﾞｰﾙ　ﾚｰﾙ用　H300,,,,,,式,,1,対象(通常品),0,0,,0,0,2026/04/20,,,,100,
02-310,02,面材,直接資材,N02000000000310,,K-6629KN　4*8,,,,,,枚,9000,1,対象(通常品),0,0,1,9000,9090,2026/04/20,,,,100,
02-311,02,ﾀﾞﾝﾎﾞｰﾙ,直接資材,N02000000000311,,ﾀﾞﾝﾎﾞｰﾙ　ﾚｰﾙ用　H150,,,,,,式,,1,対象(通常品),0,0,,0,0,2026/04/20,,,,100,
02-311,02,面材,直接資材,N02000000000311,,MDF 4'X8'Xt2.5 ｼｰﾄ片面生 片面GO貼り,GO,,4,8,2.5,枚,1292,1,対象(通常品),0,0,,0,0,2026/04/20,,,,100,
02-312,02,ﾀﾞﾝﾎﾞｰﾙ,直接資材,N02000000000312,,木製ﾊﾟｰｿﾅﾙﾛｯｶｰRGP4545BW　ﾀﾞﾝﾎﾞｰﾙ,,,,,,式,479,1,対象(通常品),0,0,10,4790,4837.9,2026/04/20,,,,100,
02-312,02,面材,直接資材,N02000000000312,,LVL 14.5x30x2430,,,,,,枚,140,1,対象(通常品),0,0,,0,0,2026/04/20,,,,100,
02-313,02,面材,直接資材,N02000000000313,,ABSｴｯｼﾞ　2x43P　GO,GO,,,,,m,98,1,対象(通常品),0,0,2810,275380,278133.8,2026/04/20,,,,100,
02-314,02,面材,直接資材,N02000000000314,,FJ-817（4X8サイズ),,,,,,枚,13500,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-315,02,面材,直接資材,N02000000000315,,片面化粧MDF　裏面VS貼り　t2.5x3x7　MW色,MW,,,,,枚,1600,1,対象(通常品),0,0,3,4800,4848,2026/04/20,,,,100,
02-316,02,面材,直接資材,N02000000000316,,片面化粧MDF　t2.5X4X8 MW,MW,,,,,枚,1593,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-317,02,面材,直接資材,N02000000000317,,両面化粧MDF　t18x3x8 NBL,NBL,,,,,枚,,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-318,02,面材,直接資材,N02000000000318,,両面化粧MDF　t18x3x8 BA,BA,,,,,枚,,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-319,02,面材,直接資材,N02000000000319,,両面化粧MDF t18x4x8 BW,BW,,,,,枚,,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-320,02,面材,直接資材,N02000000000320,,両面MDF t18x3x8 MW,MW,,,,,枚,,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-321,02,面材,直接資材,N02000000000321,,両面化粧MDF　t18x3x8　NBL,,,,,,枚,,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-322,02,面材,直接資材,N02000000000322,,両面化粧MDF　t18x3x8 NO,NO,,,,,枚,,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-323,02,面材,直接資材,N02000000000323,,両面化粧MDF　t18x4x8　LO,LO,,,,,枚,,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-324,02,面材,直接資材,N02000000000324,,FJ-802ZN 3x8,,,,,,式,17000,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-325,02,面材,直接資材,N02000000000325,,FKJ6626ZNN74,,,,,,式,17000,1,対象(通常品),0,0,2,34000,34340,2026/04/20,,,,100,
02-326,02,面材,直接資材,N02000000000326,,FKJ6600ZNN74,,,,,,式,17000,1,対象(通常品),0,0,1,17000,17170,2026/04/20,,,,100,
02-327,02,面材,直接資材,N02000000000327,,FKJ6608ZNN74,,,,,,式,17000,1,対象(通常品),0,0,2,34000,34340,2026/04/20,,,,100,
02-328,02,面材,直接資材,N02000000000328,,FKJ6623ZNN74,,,,,,式,17000,1,対象(通常品),0,0,2,34000,34340,2026/04/20,,,,100,
02-329,02,面材,直接資材,N02000000000329,,15x4x6 WH,WH,,,,,式,3070,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-330,02,面材,直接資材,N02000000000330,,15x4x6 SH,SH,,,,,式,3140,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-331,02,面材,直接資材,N02000000000331,,20x4x6 WH,WH,,,,,式,3770,1,対象(通常品),0,0,32,120640,121846.4,2026/04/20,,,,100,
02-332,02,面材,直接資材,N02000000000332,,20x4x6 SH,SH,,,,,式,3850,1,対象(通常品),0,0,5,19250,19442.5,2026/04/20,,,,100,
02-333,02,面材,直接資材,N02000000000333,,5x4x6 WH/SH,WH/SH,,,,,式,,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-334,02,面材,直接資材,N02000000000334,,15x4x8 SH,SH,,,,,式,4654,1,対象(通常品),0,0,3,13962,14101.62,2026/04/20,,,,100,
02-335,02,面材,直接資材,N02000000000335,,FJ-120222JD67 935x2455x3,,,,,,式,10680,1,対象(通常品),0,0,6,64080,64720.8,2026/04/20,,,,100,
02-337,02,面材,直接資材,N02000000000337,,K-6115KN 4X8,,,,,,式,9700,1,対象(通常品),0,0,2,19400,19594,2026/04/20,,,,100,
02-338,02,面材,間接資材,N02000000000338,,ｺﾝﾊﾟﾈ　12X3X6,,,,,,式,2100,1,対象(通常品),0,0,18,37800,38178,2026/04/20,,,,100,
03-001,03,シート,直接資材,N03000000000001,アイマックス,1949-122 3尺 ﾚｷﾞｭﾗｰ柄 ﾐﾃﾞｨｱﾑﾊﾟｰﾁHD,ﾚｷﾞｭﾗｰ,,,,,m,45,9,対象(外注先売却予定),0,200,200,9000,9090,2026/04/20,,,,100,
03-004,03,シート,直接資材,N03000000000004,,NK 4尺 (ﾅﾁｭﾗﾙｳｫｰｸ),NK,,,,,m,151,1,対象(通常品),0,300,300,45300,45753,2026/04/20,,,,100,
03-010,03,シート,直接資材,N03000000000010,,ﾎﾞﾝﾚｯｸｽ BS002 WG色 4尺,WG,,,,,m,1370,1,対象(通常品),0,100,100,137000,138370,2026/04/20,,,,100,
03-011,03,シート,直接資材,N03000000000011,,ﾎﾞﾝﾚｯｸｽ BG003 BG色 4尺,BG,,,,,m,1370,1,対象(通常品),0,160,110,150700,152207,2026/04/20,,,,100,
03-013,03,シート,直接資材,N03000000000013,,ﾎﾞﾝﾚｯｸｽ BG143 BL色 4尺,BL,,,,,m,1370,1,対象(通常品),0,30,30,41100,41511,2026/04/20,,,,100,
03-015,03,シート,直接資材,N03000000000015,アイマックス,NE80120 W750 WM,WM,,,,,m,174,9,対象(外注先売却予定),0,236,136,23664,23900.64,2026/04/20,,,,100,
03-017,03,シート,直接資材,N03000000000017,アイマックス,ﾘｱｰﾙ 2038-152 SH 4尺 (ｽﾓｰｸﾋｯｺﾘｰ),SH,,,,,m,100,9,対象(外注先売却予定),0,36,36,3600,3636,2026/04/20,,,,100,
03-020,03,シート,直接資材,N03000000000020,,ﾘｱﾌﾟﾗｽ 2038-R52 SH 4尺 (ｽﾓｰｸﾋｯｺﾘｰ)旧価格,SH,,,,,m,160,1,対象(通常品),0,940,90,14400,14544,2026/04/20,,,,100,
03-021,03,シート,直接資材,N03000000000021,,ﾘｱﾌﾟﾗｽ 2038-R52 SH 4尺 (ｽﾓｰｸﾋｯｺﾘｰ),SH,,,,,m,89,1,対象(通常品),0,8420,5706,507834,512912.34,2026/04/20,,,,100,
03-022,03,シート,直接資材,N03000000000022,,ﾘｱﾌﾟﾗｽ 2038-R45 WH 4尺 (ﾎﾜｲﾄﾋｯｺﾘｰ),WH,,,,,m,159,1,対象(通常品),0,435,3003,477477,482251.77,2026/04/20,,,,100,
03-023,03,シート,直接資材,N03000000000023,アイマックス,ﾘｱﾌﾟﾗｽ 2443-R16 LO 4尺 (ﾗｲﾄｵｰｸ),LO,,,,,m,159,9,対象(外注先売却予定),0,1000,400,63600,64236,2026/04/20,,,,100,
03-024,03,シート,直接資材,N03000000000024,アイマックス,ﾘｱﾌﾟﾗｽ 2417-R06 BW 4尺 (ﾋﾞﾀｰｳｫｰﾙﾅｯﾄ),BW,,,,,m,139,9,対象(外注先売却予定),0,5080,4662,648018,654498.18,2026/04/20,,,,100,
03-025,03,シート,直接資材,N03000000000025,アイマックス,ﾘｱﾌﾟﾗｽ 2430-R36 MC 4尺 (ﾐﾃﾞｨｱﾑﾁｪﾘｰ),MC,,,,,m,139,9,対象(外注先売却予定),0,790,435,60465,61069.65,2026/04/20,,,,100,
03-026,03,シート,直接資材,N03000000000026,アイマックス,ﾘｱﾌﾟﾗｽ 2658-R54 GO 4尺  (ｸﾞﾚｰｼﾞｭｵｰｸ),GO,,,,,m,159,9,対象(外注先売却予定),0,750,800,127200,128472,2026/04/20,,,,100,
03-027,03,シート,直接資材,N03000000000027,アイマックス,三京化成 住友BR 3尺 (ﾌﾞﾗｯｸﾛｰｽﾞ),BR,,,,,m,350,9,対象(外注先売却予定),0,800,800,280000,282800,2026/04/20,,,,100,
